Abstrakta och konkreta medlemmar	Abstract and concrete members
en gemensam bastyp (`trait`) för olika grönsaker med en abstrakt medlem för vikt,\noch kod som lägger flera grönsaker i en sekvens och summerar vikten	a common base type (`trait`) for different vegetables with an abstract member for weight,\nand code that puts several vegetables in a sequence and sums the weight
en generisk funktion som ger huvuddiagonalen som en `Vector` ur en kvadratisk matris av typen `Vector[Vector[T]]` (huvuddiagonalen = elementen där radindex är lika med kolumnindex)	a generic function that gives the main diagonal as a `Vector` from a square matrix of type `Vector[Vector[T]]` (the main diagonal = the elements where the row index equals the column index)
en generisk funktion som med en typparameter räknar hur många element i en matris av typen `Vector[Vector[T]]` som uppfyller ett givet predikat	a generic function that with a type parameter counts how many elements in a matrix of type `Vector[Vector[T]]` satisfy a given predicate
en generisk funktion som returnerar rad r som en `Vector` ur en matris av typen `Vector[Vector[T]]`	a generic function that returns row r as a `Vector` from a matrix of type `Vector[Vector[T]]`
en generisk funktion som tar emot ett värde x och ett heltal n och returnerar en `Vector` med n kopior av x	a generic function that takes a value x and an integer n and returns a `Vector` with n copies of x
en generisk funktion som tar en funktion `f` av typ A => B, en funktion `g` av typ B => C och ett argument x av typ A och returnerar g(`f(x)`)	a generic function that takes a function `f` of type A => B, a function `g` of type B => C and an argument x of type A and returns g(`f(x)`)
en generisk funktion som tar ett par av typen (A, B) och returnerar paret med komponenterna i omvänd ordning	a generic function that takes a pair of type (A, B) and returns the pair with the components in reverse order
en generisk funktion som transponerar en matris av typen `Vector[Vector[T]]` så att rader byter plats med kolumner	a generic function that transposes a matrix of type `Vector[Vector[T]]` so that rows swap places with columns
en högre ordningens funktion som applicerar en `given` funktion av typ `Int` => `Int` tre gånger på ett heltal	a higher-order function that applies a `given` function of type `Int` => `Int` three times to an integer
en klass `Person` med klassparametrar för förnamn, efternamn och ålder\noch en egen `toString` som ger en läsbar strängrepresentation	a class `Person` with class parameters for first name, last name and age\nand its own `toString` that gives a readable string representation
en klass `Spelare` som genom komposition har ett attribut som refererar till ett Konto och vidaredelegerar metoden saldo till kontot	a class `Player` that through composition has an attribute that refers to an Account and delegates the method balance to the account
en klass `Termometer` som genom komposition har ett attribut Sensor och delegerar metoden `läsAv` till sensorn i stället för att ärva den	a class `Thermometer` that through composition has an attribute Sensor and delegates the method `read` to the sensor instead of inheriting it
en klass med en privat variabel för ålder som skyddas av en getter\noch en setter som förhindrar negativa värden	a class with a private variable for age that is protected by a getter\nand a setter that prevents negative values
en klass som genom inmixning kombinerar flera traits för att återanvända gemensamma medlemmar	a class that through mixin combines several traits to reuse common members
en klass som har en klassparameter namn och en förändringsbar klassparameter poäng med defaultargument noll samt en egen `toString`	a class that has a class parameter name and a mutable class parameter score with default argument zero as well as its own `toString`
en klass som har ett privat attribut för procentvärde och en getter samt en setter som bara tillåter värden mellan noll och hundra	a class that has a private attribute for a percentage value and a getter as well as a setter that only allows values between zero and one hundred
en klass som har ett privat attribut för saldo och en setter som med `require` förhindrar negativa värden	a class that has a private attribute for balance and a setter that with `require` prevents negative values
en klass som har klassparametrarna förnamn, efternamn och stad och en egen `toString` som ger en snygg strängrepresentation med stränginterpolering	a class that has the class parameters first name, last name and city and its own `toString` that gives a nice string representation with string interpolation
en klass som har klassparametrarna titel och längd i minuter för en film och en egen `toString` som visar tillståndet med stränginterpolering	a class that has the class parameters title and length in minutes for a movie and its own `toString` that shows the state with string interpolation
en klass som modellerar en räknare med ett privat attribut och metoder för att öka med ett och avläsa nuvarande värde	a class that models a counter with a private attribute and methods to increase by one and read the current value
en klass som skrivs om från att använda arv till att i stället använda komposition	a class that is rewritten from using inheritance to instead using composition
en lat variabel som med `lazy` `val` fördröjer initialiseringen av en stor vektor tills den refereras första gången	a lazy variable that with `lazy` `val` delays the initialization of a large vector until it is referenced for the first time
en mängd som innehåller färgerna röd, grön och blå och ett uttryck som med `apply` avgör om gul finns i mängden	a set that contains the colors red, green and blue and an expression that with `apply` determines whether yellow is in the set
en mängd som skapas ur en talsekvens med dubbletter och ett uttryck som ger antalet unika tal	a set that is created from a number sequence with duplicates and an expression that gives the number of unique numbers
en nyckel-värde-tabell som mappar tre frukter till deras pris och ett uttryck som slår upp priset på banan	a key-value table that maps three fruits to their price and an expression that looks up the price of banana
en nyckel-värde-tabell som skapas från en sekvens av par (namn, ålder)\nmed hjälp av `toMap`	a key-value table that is created from a sequence of pairs (name, age)\nusing `toMap`
en nyckel-värde-tabell som utgår från en befintlig tabell och ger en ny tabell där ett par har lagts till	a key-value table that starts from an existing table and gives a new table where a pair has been added
en oföränderlig case-klass `Point` och förklara skillnaden mellan == och eq,\noch använd `copy` för att skapa en delvis förändrad kopia	an immutable case class `Point` and explain the difference between == and eq,\nand use `copy` to create a partially changed copy
en rekursiv funktion som beräknar fakulteten av ett heltal (fakulteten n! = 1·2·…·n, och 0! = 1)	a recursive function that computes the factorial of an integer (the factorial n! = 1·2·…·n, and 0! = 1)
en repetition som kastar 100 tärningar och räknar antalet ettor	a loop that rolls 100 dice and counts the number of ones
en repetition som med en for-sats skriver ut kvadraten av talen 1 till 10	a loop that with a for statement prints the square of the numbers 1 to 10
en repetition som med en while-sats skriver ut talen från 10 ner till 1	a loop that with a while statement prints the numbers from 10 down to 1
en repetition som skriver ut de första 42 heltalen	a loop that prints the first 42 integers
en subklass som överskuggar en metod med `override`\noch anropar supertypens version med `super`	a subclass that overrides a method with `override`\nand calls the supertype's version with `super`
en subtyp som med `override` ersätter en konkret metod i sin supertyp och anropar `super` för att återanvända supertypens beteende	a subtype that with `override` replaces a concrete method in its supertype and calls `super` to reuse the supertype's behavior
en subtyp som med `override` ersätter en konkret metod i sin supertyp utan att anropa `super`	a subtype that with `override` replaces a concrete method in its supertype without calling `super`
en supertyp som har en `final` metod som ej kan överskuggas och en subtyp som ärver den finala metoden	a supertype that has a `final` method that cannot be overridden and a subtype that inherits the final method
enumeration	enumeration
ett `enum` `Mynt` där varje fall har ett valörvärde i ören som parameter och en metod som ger värdet i kronor som `Double` (1 krona = 100 öre)	an `enum` `Coin` where each case has a denomination value in öre as parameter and a method that gives the value in kronor as `Double` (1 krona = 100 öre)
ett `enum` `Väderstreck` med fallen Norr, Öster, Söder och Väster och en funktion som med mönstermatchning ger det motsatta väderstrecket	an `enum` `CompassDirection` with the cases North, East, South and West and a function that with pattern matching gives the opposite compass direction
ett `enum` som heter `Planet` med en parameter massa av typen `Double` och en medlemsmetod som ger massan dubblerad	an `enum` called `Planet` with a parameter mass of type `Double` and a member method that gives the mass doubled
ett `enum` som heter `Trafikljus` med fallen Röd, Gul och Grön och en parameter stannar av typen `Boolean` där Röd och Gul stannar men Grön inte gör det	an `enum` called `TrafficLight` with the cases Red, Yellow and Green and a parameter stops of type `Boolean` where Red and Yellow stop but Green does not
ett `enum` som räknar upp de fyra årstiderna Vår, Sommar, Höst och Vinter	an `enum` that enumerates the four seasons Spring, Summer, Autumn and Winter
ett booleskt uttryck som är sant om x är större än noll eller x är mindre än -42	a boolean expression that is true if x is greater than zero or x is less than -42
ett booleskt uttryck som är sant precis när age ligger mellan 13 och 19	a boolean expression that is true exactly when age is between 13 and 19
ett booleskt uttryck som är sant precis när heltalet n är delbart med 3	a boolean expression that is true exactly when the integer n is divisible by 3
ett if-uttryck som ger strängen "godkänt" om poäng är minst 50, annars "underkänt"	an if expression that returns the string "pass" if the score is at least 50, otherwise "fail"
ett kompanjonsobjekt som innehåller en fabriksmetod `apply` vilken skapar en instans av en oföränderlig klass med privat konstruktor	a companion object that contains a factory method `apply` which creates an instance of an immutable class with a private constructor
ett kompanjonsobjekt som innehåller en oföränderlig delad `val` som anger en standardfärg gemensam för alla instanser av klassen	a companion object that contains an immutable shared `val` that specifies a default color common to all instances of the class
ett match-uttryck som matchar ett tärningsslag och returnerar sexa med en gard, annars binder ett variabelmönster och returnerar slaget	a match expression that matches a dice roll and returns six with a guard, otherwise binds a variable pattern and returns the roll
ett match-uttryck som plockar isär en tupel av namn och ålder och med en gard returnerar olika strängar för jämn respektive udda ålder	a match expression that takes apart a tuple of name and age and with a guard returns different strings for even respectively odd age
ett match-uttryck som tar en sträng dag och returnerar helg om värdet är lördag eller söndag, annars vardag, med konstant-mönster och en wildcard-gren	a match expression that takes a string day and returns weekend if the value is Saturday or Sunday, otherwise weekday, with constant patterns and a wildcard branch
ett match-uttryck som tar ett heltalsbetyg och returnerar underkänd för 0, 1, 2, godkänd för 3, 4 och väl godkänd för 5, med eller-mönster och en wildcard-gren sist	a match expression that takes an integer grade and returns fail for 0, 1, 2, pass for 3, 4 and pass with distinction for 5, with or-patterns and a wildcard branch last
ett par som med metoden -> kopplar strängen "Ålder" till talet 42, samt en vektor med tre sådana par	a pair that with the method -> associates the string "Age" with the number 42, and a vector with three such pairs
ett predikat som avgör om en sträng är ett palindrom, det vill säga läses likadant framlänges och baklänges	a predicate that determines whether a string is a palindrome, that is, reads the same forwards and backwards
ett predikat som avgör om en sträng är tom och filtrerar `Vector("a", "", "b")` med `filter`	a predicate that determines whether a string is empty and filters `Vector("a", "", "b")` with `filter`
ett predikat som avgör om ett heltal är jämnt	a predicate that determines whether an integer is even
ett predikat som avgör om ett heltal är positivt och delar upp `Vector(-2, 3, -1, 5)` med `partition`	a predicate that determines whether an integer is positive and splits `Vector(-2, 3, -1, 5)` with `partition`
ett predikat som med hjälp av `forall` avgör om alla element i en matris av typen `Vector[Vector[Int]]` är positiva	a predicate that with the help of `forall` determines whether all elements in a matrix of type `Vector[Vector[Int]]` are positive
ett predikat som tar två strängar och ger `true` om de börjar med samma bokstav	a predicate that takes two strings and gives `true` if they begin with the same letter
ett predikat som testar om en nästlad sekvens av heltal\när en matematisk matris med m rader och n kolumner\nmed och utan hjälp av befintliga metoden `forall` (dvs. alla rader har lika många element)	a predicate that tests whether a nested sequence of integers\nis a mathematical matrix with m rows and n columns\nwith and without the help of the existing method `forall` (i.e. all rows have the same number of elements)
ett program som byter plats på det andra och det näst sista elementet i args och skriver ut resultatet med blanktecken emellan	a program that swaps the second and the second-to-last element in args and prints the result with spaces in between
ett program som med @main tar emot ett heltal n och resten som strängar och skriver ut de n sista strängarna	a program that with @main receives an integer n and the rest as strings and prints the last n strings
ett program som med en for-do-sats skriver ut varje element i args på en egen rad tillsammans med dess platsnummer	a program that with a for-do statement prints each element in args on its own line together with its position number
ett program som registrerar 1000 tärningskast i en `Array`	a program that registers 1000 dice rolls in an `Array`
ett program som skriver ut antalet negativa heltal i args	a program that prints the number of negative integers in args
ett singelobjekt `Highscore` med en privat variabel för högsta poäng,\nen getter, en metod `isHighscore(p: Int)` och en metod `update(p: Int)` som ändrar tillståndet	a singleton object `Highscore` with a private variable for the highest score,\na getter, a method `isHighscore(p: Int)` and a method `update(p: Int)` that changes the state
ett singelobjekt som heter `Färger` och som med namnbyte vid `import` gör `java.awt.Color` tillgänglig som JColor	a singleton object called `Colors` that, with renaming on `import`, makes `java.awt.Color` available as JColor
ett singelobjekt som heter `Räknare` med en privat variabel _antal som börjar på noll, en getter antal och en metod `öka` som ökar räknaren med ett	a singleton object called `Counter` with a private variable _count starting at zero, a getter count and a method `increment` that increases the counter by one
ett singelobjekt som heter `Termostat` med en privat variabel _temp, en getter temp och en metod `höj` som ökar temperaturen med ett givet antal grader	a singleton object called `Thermostat` with a private variable _temp, a getter temp and a method `raise` that increases the temperature by a given number of degrees
ett singelobjekt som heter `mittBankkonto` med ett oföränderligt kontonr, ett föränderligt saldo och ett predikat `ärSkuldsatt` som är sant då saldot är negativt	a singleton object called `myBankAccount` with an immutable account number, a mutable balance and a predicate `isInDebt` that is true when the balance is negative
ett try-catch-uttryck som beräknar en heltalsdivision och fångar ett ArithmeticException genom att returnera minus ett	a try-catch expression that computes an integer division and catches an ArithmeticException by returning minus one
ett typalias Pt för tupeltypen (`Int`, `Int`) och en funktion som tar två punkter av typen Pt och returnerar deras s.k. manhattanavstånd, definierat som summan av absolutbeloppen av differenserna mellan respektive koordinater, alltså i matematisk notation: |x1 - x2| + |y1 - y2| 	a type alias Pt for the tuple type (`Int`, `Int`) and a function that takes two points of type Pt and returns their so-called Manhattan distance, defined as the sum of the absolute values of the differences between the respective coordinates, that is in mathematical notation: |x1 - x2| + |y1 - y2| 
ett typalias som heter `Pt` för typen (`Int`, `Int`) och en funktion `distToOrigo` som tar ett Pt och ger avståndet till origo med `math.hypot`	a type alias called `Pt` for the type (`Int`, `Int`) and a function `distToOrigo` that takes a Pt and gives the distance to the origin with `math.hypot`
ett uttryck som beräknar heltalsdelen av 41 dividerat med 2	an expression that computes the integer part of 41 divided by 2
ett uttryck som beräknar produkten av talen 9 och 6	an expression that computes the product of the numbers 9 and 6
ett uttryck som beräknar resten när 100 delas med 7	an expression that computes the remainder when 100 is divided by 7
ett uttryck som beräknar resten när 41 delas med 2 med operatorn %	an expression that computes the remainder when 41 is divided by 2 using the operator %
ett uttryck som beräknar summan av talen 7 och 5	an expression that computes the sum of the numbers 7 and 5
ett uttryck som konkatenerar strängarna "gurk" och "burk" till en enda sträng	an expression that concatenates the strings "foot" and "ball" into a single string
ett uttryck som med `Range` och for-yield skapar en `Vector` med de tio första udda talen	an expression that with `Range` and for-yield creates a `Vector` with the first ten odd numbers
ett uttryck som med `Range` och sum beräknar summan av alla jämna tal från 0 till och med 100	an expression that with `Range` and sum computes the sum of all even numbers from 0 up to and including 100
ett uttryck som med for-yield bygger en ny `Vector` där varje tal i xs har ökats med 10	an expression that with for-yield builds a new `Vector` where each number in xs has been increased by 10
ett uttryck som räknar ut cirkelarean givet radien av r (cirkelns area är π·r², π finns som `math.Pi`)	an expression that computes the area of a circle given the radius r (the area of a circle is π·r², where π is available as `math.Pi`)
ett uttryck som upprepar strängen "ha" 10 gånger med operatorn *	an expression that repeats the string "ha" 10 times using the operator *
exekverbar implementation	executable implementation
exekvering i sekvens	sequential execution
extensionsmetod	extension method
fabriksmetod	factory method
filtrering	filtering
for-sats	for statement
for-uttryck	for expression
funktion	function
funktion som äkta värde	function as a first-class value
förseglad (`sealed`) typhierarki	sealed (`sealed`) type hierarchy
förseglad typ	sealed type
förändringsbar samling	mutable collection
generisk datastruktur	generic data structure
generisk funktion	generic function
getter	getter
givet bredd b och höjd h, ett uttryck som ger rektangelns area	given width b and height h, an expression that gives the rectangle's area
givet en radie r, ett uttryck som ger cirkelns omkrets (cirkelns omkrets är 2·π·r)	given a radius r, an expression that gives the circle's circumference (the circumference of a circle is 2·π·r)
givet en sträng s, ett uttryck som ger strängen s upprepad tre gånger	given a string s, an expression that gives the string s repeated three times
givet en temperatur, ett booleskt uttryck som är sant om det är minusgrader	given a temperature, a boolean expression that is true if it is below zero
givet en ålder i år, ett booleskt uttryck som är sant om personen är myndig (myndig = minst 18 år)	given an age in years, a boolean expression that is true if the person is of legal age (of legal age = at least 18 years)
givet ett förnamn och ett efternamn, ett uttryck som sätter ihop dem till ett namn med ett mellanslag emellan	given a first name and a last name, an expression that joins them into a full name with a space in between
givet ett heltal n, ett booleskt uttryck som är sant om n är delbart med både 2 och 3	given an integer n, a boolean expression that is true if n is divisible by both 2 and 3
givet ett heltal n, ett booleskt uttryck som är sant om n är jämnt	given an integer n, a boolean expression that is true if n is even
givet ett heltal n, ett uttryck som ger den sista siffran i n	given an integer n, an expression that gives the last digit of n
givet ett heltal n, ett uttryck som ger n upphöjt till två	given an integer n, an expression that gives n to the power of two
givet ett heltal n, ett uttryck som ger n ökat med ett	given an integer n, an expression that gives n increased by one
givet ett namn, ett uttryck som med en stränginterpolator bygger hälsningen "Hej <namn>!"	given a name, an expression that uses a string interpolator to build the greeting "Hello <name>!"
givet grader Celsius c, ett uttryck som ger motsvarande temperatur i Fahrenheit (Fahrenheit = Celsius · 9/5 + 32)	given degrees Celsius c, an expression that gives the corresponding temperature in Fahrenheit (Fahrenheit = Celsius · 9/5 + 32)
givet två heltal a och b, ett booleskt uttryck som är sant om de är lika	given two integers a and b, a boolean expression that is true if they are equal
givet två heltal a och b, ett uttryck som ger deras medelvärde som `Double`	given two integers a and b, an expression that gives their average as a `Double`
grundtyper	basic types
huvudprogram	main program
if-sats	if statement
if-uttryck	if expression
indexering	indexing
innehållslikhet	content equality
innehållstest	membership test
instansiering	instantiation
insättningssortering	insertion sort
klass	class
klassparameter	class parameter
kod-duplicering	code duplication
kollektiva extensionsmetoder på typen `Double` med halva som ger talet delat med två och dubbla som ger talet gånger två, samlade under en och samma `extension`	collective extension methods on the type `Double` with half that gives the number divided by two and double that gives the number times two, gathered under one and the same `extension`
kompanjonsobjekt	companion object
kompilering	compilation
kompileringsfel	compile-time error
komposition	composition
konkret medlem	concrete member
konstruktormönster	constructor pattern
kontrollstruktur	control structure
källkod	source code
körtidsfel	run-time error
likhet mellan strängar	equality between strings
linjärsökning	linear search
lokal funktion	local function
maskinkod	machine code
matris	matrix
metod	method
metoden `apply`	the `apply` method
mängd	set
mönstermatchning	pattern matching
namnanrop	call-by-name
namngivna argument	named arguments
namnrymd	namespace
nyckel-värde-tabell	key-value table
nyckelordet this	the keyword this
nästlad struktur	nested structure
oföränderlig samling	immutable collection
paket	package
parameter	parameter
parametertyp	parameter type
persistens	persistence
predikat	predicate
privat medlem	private member
pseudokod	pseudocode
punktnotation	dot notation
referenslikhet	reference equality
registrering	tallying
repeterade parametrar	repeated parameters
returtyp	return type
samlingsmetoden `map`	the collection method `map`
sekvens	sequence
sekvensalgoritm	sequence algorithm
serialisering	serialization
setter	setter
singelobjekt	singleton object
skapa ny sekvens	create a new sequence
skyddad medlem (`protected`)	protected member (`protected`)
sorterad sekvens av strängar	sorted sequence of strings
statisk typ	static type
stränginterpolator	string interpolator
strängrepresentation	string representation
subtyp	subtype
subtypspolymorfism	subtype polymorphism
supertyp	supertype
tilldelning	assignment
tillstånd	state
transformering	transformation
try-catch	try-catch
tupel	tuple
två förändringsbara variabler som först initialiseras\nmed två olika helatal och sedan byter värde med varandra	two mutable variables that are first initialized\nwith two different integers and then swap values with each other
typ	type
typparameter	type parameter
undantag	exception
uppräknade värden med `enum`	enumerated values with `enum`
uppräknade värden med heltal	enumerated values with integers
vektor	vector
värde	value
värdeanrop	call-by-value
while-sats	while statement
Äkta funktioner	Pure functions
äkta funktion	pure function
ändra på plats	modify in place
överlagring	overloading
överskuggning (`override`)	overriding (`override`)
